Date,Open,High,Low,Close,Adj Close,Volume
2017-01-12,117.040001,117.040001,116.010002,116.930000,105.043938,2342300
2017-01-13,116.989998,117.400002,116.980003,117.220001,105.304451,2031800
2017-01-17,116.860001,117.059998,116.470001,116.699997,104.837303,2583600
2017-01-18,116.800003,117.000000,116.480003,116.970001,105.079857,1901700
2017-01-19,117.029999,117.139999,116.239998,116.510002,104.666626,1899300
2017-01-20,116.839996,117.230003,116.589996,116.910004,105.025963,2636100
2017-01-23,116.750000,116.970001,116.169998,116.599998,104.747475,1938900
2017-01-24,116.820000,117.739998,116.739998,117.510002,105.564964,2165400
2017-01-25,118.019997,118.559998,117.940002,118.519997,106.472298,2427800
2017-01-26,118.559998,118.620003,118.230003,118.349998,106.319572,2178500
2017-01-27,118.449997,118.480003,118.019997,118.160004,106.148888,1479500
2017-01-30,117.730003,117.800003,116.680000,117.360001,105.430214,3006100
2017-01-31,117.000000,117.459999,116.730003,117.459999,105.520050,3309700
2017-02-01,117.860001,118.040001,117.070000,117.449997,105.511070,2614500
2017-02-02,117.209999,117.720001,117.019997,117.529999,105.582932,1745200
2017-02-03,117.989998,118.519997,117.919998,118.419998,106.382469,1837600
2017-02-06,118.260002,118.410004,117.940002,118.139999,106.130913,1598800
2017-02-07,118.430000,118.529999,117.959999,118.129997,106.121948,3365700
2017-02-08,118.129997,118.320000,117.690002,118.260002,106.238716,1836000
2017-02-09,118.260002,119.209999,118.260002,119.040001,106.939445,1635300
2017-02-10,119.290001,119.699997,119.209999,119.540001,107.388611,1837800
2017-02-13,119.919998,120.330002,119.870003,120.139999,107.927628,1985500
2017-02-14,120.099998,120.629997,119.849998,120.580002,108.322906,2051200
2017-02-15,120.570000,121.349998,120.449997,121.239998,108.915802,1998200
2017-02-16,121.250000,121.370003,120.639999,121.129997,108.816978,2034600
2017-02-17,120.660004,121.309998,120.660004,121.309998,108.978691,1948400
2017-02-21,121.550003,122.129997,121.389999,122.029999,109.625496,2422800
2017-02-22,121.820000,122.029999,121.680000,121.870003,109.481781,1974000
2017-02-23,122.209999,122.230003,121.320000,121.779999,109.400932,2024900
2017-02-24,121.379997,121.989998,121.239998,121.980003,109.580597,2962900
2017-02-27,121.919998,122.360001,121.739998,122.250000,109.823151,2625100
2017-02-28,122.180000,122.180000,121.610001,121.800003,109.418877,2231800
2017-03-01,122.809998,123.730003,122.650002,123.440002,110.892166,2874400
2017-03-02,123.419998,123.419998,122.610001,122.650002,110.182472,2421400
2017-03-03,122.629997,122.800003,122.330002,122.750000,110.272301,1651200
2017-03-06,122.480003,122.480003,121.900002,122.269997,109.841103,1716200
2017-03-07,122.209999,122.290001,121.750000,121.879997,109.490753,1612500
2017-03-08,121.989998,122.180000,121.470001,121.540001,109.185318,2374200
2017-03-09,121.599998,121.889999,121.019997,121.599998,109.239220,3852800
2017-03-10,122.190002,122.250000,121.459999,122.040001,109.634491,2987300
2017-03-13,122.059998,122.160004,121.860001,122.129997,109.715363,2003900
2017-03-14,121.870003,121.870003,121.239998,121.690002,109.320068,2269500
2017-03-15,121.980003,123.040001,121.889999,122.790001,110.308250,1892200
2017-03-16,122.959999,123.000000,122.430000,122.639999,110.173492,2050100
2017-03-17,122.839996,122.879997,122.449997,122.570000,110.110596,1974000
2017-03-20,122.510002,122.620003,122.070000,122.279999,109.850082,3239900
2017-03-21,122.690002,122.720001,120.440002,120.570000,108.313911,3355100
2017-03-22,120.480003,120.910004,120.099998,120.730003,108.457657,2896300
2017-03-23,120.660004,121.389999,120.470001,120.690002,108.421700,2257100
2017-03-24,120.419998,120.739998,119.660004,120.160004,108.432541,2305400
2017-03-27,119.180000,120.190002,118.889999,120.019997,108.306221,2927700
2017-03-28,119.959999,121.139999,119.779999,120.860001,109.064224,2699200
2017-03-29,120.879997,121.230003,120.580002,121.080002,109.262756,3196500
2017-03-30,121.139999,121.620003,120.989998,121.529999,109.668846,2076900
2017-03-31,121.419998,121.720001,121.260002,121.320000,109.479340,1815900
2017-04-03,121.449997,121.500000,120.330002,121.019997,109.208611,3103100
2017-04-04,120.889999,121.110001,120.639999,121.080002,109.262756,2462600
2017-04-05,121.489998,122.019997,120.440002,120.589996,108.820587,3905800
2017-04-06,120.690002,121.260002,120.379997,120.970001,109.163490,2056100
2017-04-07,120.839996,121.290001,120.589996,120.879997,109.082275,1997000
2017-04-10,121.040001,121.510002,120.699997,121.029999,109.217628,1669500
2017-04-11,120.870003,121.000000,120.059998,120.989998,109.181534,2895500
2017-04-12,120.879997,120.989998,120.230003,120.370003,108.622055,1967200
2017-04-13,120.150002,120.559998,119.550003,119.550003,107.882080,2852200
2017-04-17,119.879997,120.610001,119.680000,120.589996,108.820587,3198700
2017-04-18,120.199997,120.570000,119.849998,120.330002,108.585945,1865800
2017-04-19,120.720001,120.919998,120.080002,120.230003,108.495735,1806900
2017-04-20,120.589996,121.430000,120.370003,121.220001,109.389091,1783400
2017-04-21,121.209999,121.209999,120.610001,120.830002,109.037163,2006500
2017-04-24,122.169998,122.279999,121.879997,122.110001,110.192245,2178800
2017-04-25,122.559998,123.089996,122.519997,122.870003,110.878067,2145200
2017-04-26,122.900002,123.449997,122.849998,122.900002,110.905128,3080100
